Unnamed: 0,text,place,uri,collector,area,lat,lon,normtext
111997,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους",Ήπειρος,http://hdl.handle.net/20.500.11853/256064,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους"
94031,Της Κυριακής το όνειρο ως το γιόμα στρέει,Ήπειρος,http://hdl.handle.net/20.500.11853/204756,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Της Κυριακής το όνειρο ως το γιόμα στρέει
106168,Φκειάνομε καλυβάκια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204323,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Φκειάνομε καλυβάκια
74249,Απόστολος παρήγορος χασάπικης ειρήνης,Ήπειρος,http://hdl.handle.net/20.500.11853/181673,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Απόστολος παρήγορος χασάπικης ειρήνης
4616,Τούρθε σαν της κουκουβάγιας το πουλί,Ήπειρος,http://hdl.handle.net/20.500.11853/271841,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Τούρθε σαν της κουκουβάγιας το πουλί
81624,Ξύλα κούτσουρα δαυλιά καϋμένα,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289177,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Ξύλα κούτσουρα δαυλιά καϋμένα
74380,Δεν αξίζει ο κόπος,Ήπειρος,http://hdl.handle.net/20.500.11853/213007,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Δεν αξίζει ο κόπος
89912,Το αβκόν αβκόν τσακκίζει,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/195850,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671,Το αβκόν αβκόν τσακκίζει
105985,Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168476,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον
8704,Το γουρουνάσκ' κρασάσκ' δε γένεται,Ήπειρος,http://hdl.handle.net/20.500.11853/167081,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Το γουρουνάσκ' κρασάσκ' δε γένεται
8386,Κάλλια Καλογιάνν' παρά Κακογιάνν',Ήπειρος,http://hdl.handle.net/20.500.11853/203519,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Κάλλια Καλογιάνν' παρά Κακογιάνν'
105946,Να τον φυσήης πέφτει,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256604,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Να τον φυσήης πέφτει
74132,Αλλού το όνειρο κι αλλού το θάμμα,Ήπειρος,http://hdl.handle.net/20.500.11853/152921,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Αλλού το όνειρο κι αλλού το θάμμα
92698,Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276988,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671,Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει
7722,"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ",Ήπειρος,http://hdl.handle.net/20.500.11853/168975,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ"
92693,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276986,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει
105013,"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/248521,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις"
93845,Το μ'σιακό το βόδ' το τρώει ο λύκος,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/282686,"Παπάς, Δ. Α.",Ήπειρος,37.9982534,23.7378671,Το μ'σιακό το βόδ' το τρώει ο λύκος
7627,"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα",Ήπειρος,http://hdl.handle.net/20.500.11853/204651,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα"
87128,Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/289086,"Νεστορίδης, Κ.",Ήπειρος,37.9982534,23.7378671,Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι
74686,Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ,Ήπειρος,http://hdl.handle.net/20.500.11853/152907,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ
8181,Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση,Ήπειρος,http://hdl.handle.net/20.500.11853/203502,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση
7674,Όσα ξέρ' ου νκουκύρς δεν τα ξέρ' ου κόσμος όλους,Ήπειρος,http://hdl.handle.net/20.500.11853/286128,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Όσα ξέρ' ο νκουκύρς δεν τα ξέρ' ο κόσμος όλους
106113,Το πάνουν ζιτνά,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204322,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Το πάνουν ζιτνά
118699,Εις μόνον αναμάρτητος,Ήπειρος,http://hdl.handle.net/20.500.11853/159331,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,Εις μόνον αναμάρτητος
74861,Όποιος έχει σειέται κι όπου δεν έχει ξυέται,Ήπειρος,http://hdl.handle.net/20.500.11853/181492,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Όποιος έχει σειέται κι όπου δεν έχει ξυέται
104975,Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178282,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα
106061,Στέκεται στ΄αγκάθι,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/157822,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Στέκεται στ΄αγκάθι
44958,Εχ' κώλου,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/273720,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Εχ' κώλου
106161,Τρώει τ' πουλιού το γάλα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256592,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Τρώει τ' πουλιού το γάλα
106163,Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256608,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό
7708,Σι ξένου κρασί μη χύνς νιρό,Ήπειρος,http://hdl.handle.net/20.500.11853/204655,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Σι ξένου κρασί μη χύνς νιρό
64379,Περπατάει άμποτε και κάμποτε,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256785,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,Περπατάει άμποτε και κάμποτε
104764,"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/198253,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι"
105674,Απέθανα γελώντας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168422,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Απέθανα γελώντας
111904,Για την τριχιά πά' η τζιούμα,Ήπειρος,http://hdl.handle.net/20.500.11853/204564,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,Για την τριχιά πά' η τζιούμα
74106,"Αγκομαχάει σαν το άτι, ή σαν σκύλος",Ήπειρος,http://hdl.handle.net/20.500.11853/153111,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Αγκομαχάει σαν το άτι, ή σαν σκύλος"
81680,Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/256568,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν
75064,Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις,Ήπειρος,http://hdl.handle.net/20.500.11853/153003,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις
74415,Δυο φοραίς οι γέροντες γένονται παιδιά,Ήπειρος,http://hdl.handle.net/20.500.11853/181749,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Δυο φοραίς οι γέροντες γένονται παιδιά
4412,Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω,Ήπειρος,http://hdl.handle.net/20.500.11853/256159,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω
74073,Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια,Ήπειρος,http://hdl.handle.net/20.500.11853/256920,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια
45156,Μια κούτ' κι άλλ' διάβα 'δω,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170466,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Μια κούτ' κι άλλ' διάβα 'δω
74938,Πίσω την έχει την ουρά το δροσερό τ' απίδι,Ήπειρος,http://hdl.handle.net/20.500.11853/212971,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Πίσω την έχει την ουρά το δροσερό τ' απίδι
4425,"Εκεί όπου δεν έβαλες, μην απλώνης",Ήπειρος,http://hdl.handle.net/20.500.11853/141282,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,"Εκεί όπου δεν έβαλες, μην απλώνης"
4420,Εγεννήθηκε σε ξίσκεπο σπίτι,Ήπειρος,http://hdl.handle.net/20.500.11853/289266,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Εγεννήθηκε σε ξίσκεπο σπίτι
104382,Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα,Ήπειρος,http://hdl.handle.net/20.500.11853/173383,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671,Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα
89918,Το κάνω παίπαιλη,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/247825,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671,Το κάνω παίπαιλη
119321,"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο",Ήπειρος,http://hdl.handle.net/20.500.11853/197808,"Ψάλτης, Σταμάτιος Β.",Ήπειρος,37.9982534,23.7378671,"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο"
4598,Το στάρι απ' το μύλο θα διαβή,Ήπειρος,http://hdl.handle.net/20.500.11853/284039,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Το στάρι απ' το μύλο θα διαβή
74982,Τα αυτά της αυτής,Ήπειρος,http://hdl.handle.net/20.500.11853/153006,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Τα αυτά της αυτής
94044,Τούρθε σαν τ' μπούφιο του πλι,Ήπειρος,http://hdl.handle.net/20.500.11853/284017,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Τούρθε σαν τ' μπούφιο του πλι
8632,Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο,Ήπειρος,http://hdl.handle.net/20.500.11853/167124,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο
102649,Ήλιος καμωμένος,Ήπειρος,http://hdl.handle.net/20.500.11853/172568,"Πολίτης, Νικ.",Ήπειρος,37.9982534,23.7378671,Ήλιος καμωμένος
8705,Το γρόθο στο μαχαίρι,Ήπειρος,http://hdl.handle.net/20.500.11853/167140,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Το γρόθο στο μαχαίρι
45261,Όποιους έχ΄ γρόσια έχ΄ γλώσσα,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170351,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Όποιους έχ΄ γρόσια έχ΄ γλώσσα
106117,Το πήρε σβάρνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256590,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Το πήρε σβάρνα
94072,Μας έκουψι μπουρανιές,Ήπειρος,http://hdl.handle.net/20.500.11853/206289,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671,Μας έκουψι μπουρανιές
111923,Έχει δεύτερα μάτια,Ήπειρος,http://hdl.handle.net/20.500.11853/279764,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,Έχει δεύτερα μάτια
93990,Ο λύκος με μυρμήγκια δεν χορταίνει,Ήπειρος,http://hdl.handle.net/20.500.11853/281754,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Ο λύκος με μυρμήγκια δεν χορταίνει
105895,Λέγ' άρα μπάρα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/275331,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Λέγ' άρα μπάρα
45498,Τ' ς αλουνίζ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/148571,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Τ' ς αλουνίζ'
45200,Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/205442,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια
64362,Πέθανε να σε πονώ και ζήσε για να σ' έχω,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256791,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,Πέθανε να σε πονώ και ζήσε για να σ' έχω
1257,Έδουκι κί πήρι,Ήπειρος,http://hdl.handle.net/20.500.11853/186275,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,Έδουκι κί πήρι
44913,Ένας κούκκους άγ' ξ' δέ φέρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170463,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Ένας κούκκους άγ' ξ' δέ φέρ'
7618,Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή,Ήπειρος,http://hdl.handle.net/20.500.11853/141791,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή
106114,Το παλιό το φόρεμα αψυχάει το καινούριο,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256636,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Το παλιό το φόρεμα αψυχάει το καινούριο
8644,Σαν το βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/141940,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Σαν το βόϊδι
81676,Σ του λόγγου κατοικίας και ξύλα αγοράζης,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/204235,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Σ του λόγγου κατοικίας και ξύλα αγοράζης
104327,Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά,Ήπειρος,http://hdl.handle.net/20.500.11853/157371,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671,Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά
118689,"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα",Ήπειρος,http://hdl.handle.net/20.500.11853/173022,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα"
74504,Έχει πίσσα κ' η παράδεισο,Ήπειρος,http://hdl.handle.net/20.500.11853/256839,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Έχει πίσσα κ' η παράδεισο
118763,"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού","Ήπειρος, Κούρεντα",http://hdl.handle.net/20.500.11853/290025,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού"
8690,Ταγώγι ξυπνά τον αγωγιάτη,Ήπειρος,http://hdl.handle.net/20.500.11853/141945,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Ταγώγι ξυπνά τον αγωγιάτη
74130,Αλλού ο παππάς κι αλλού τα ρούχα του,Ήπειρος,http://hdl.handle.net/20.500.11853/152931,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Αλλού ο παππάς κι αλλού τα ρούχα του
8627,Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι,Ήπειρος,http://hdl.handle.net/20.500.11853/203490,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι
81570,Κάθε ξύλον και τον καπνόν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289175,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Κάθε ξύλον και τον καπνόν
81674,Ράχες ράχες η βροχή γένεια το κρασί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/154148,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Ράχες ράχες η βροχή γένεια το κρασί
63227,"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη","Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/163802,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη"
74514,Εβγήκαν ή σκασμέναις σαν ακρίδες,Ήπειρος,http://hdl.handle.net/20.500.11853/153142,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Εβγήκαν ή σκασμέναις σαν ακρίδες
